AgeGroup,selection_rate_avant,recall_avant,precision_avant,accuracy_avant,selection_rate_apres,recall_apres,precision_apres,accuracy_apres
30-40,0.37285714285714283,0.8333333333333334,0.21893814997263272,0.6924489795918367,0.2773469387755102,0.7416666666666667,0.2619573215599706,0.77
40-50,0.3087629598068456,0.8113522537562604,0.22355105795768168,0.7442124698196279,0.27226246271836385,0.7412353923205343,0.23161189358372458,0.7687828433461156
50-60,0.20452239454993476,0.7248157248157249,0.2090715804394047,0.8220031888679519,0.24481808957819973,0.7223587223587223,0.17406749555950266,0.7814175967531526
60-70,0.10835461510397665,0.64,0.18855218855218855,0.9005837285662167,0.2385990514410799,0.6857142857142857,0.09174311926605505,0.773257935060197
70+,0.05272157309774864,0.4788732394366197,0.1837837837837838,0.9464234824736392,0.2311199772014819,0.6619718309859155,0.05795314426633785,0.7754345967512112
<30,0.45274319963116644,0.8827838827838828,0.2454175152749491,0.6436145689257723,0.2789303826648225,0.7326007326007326,0.3305785123966942,0.7796219455970493
